codigo_municipio,sigla_estado,nome_municipio,numero_de_estabelecimentos_agricolas,numero_de_tratores_em_uso
1501725,PA,Brasil Novo,175.0,200.0
1501758,PA,Brejo Grande do Araguaia,60.0,109.0
1501782,PA,Breu Branco,159.0,221.0
1501808,PA,Breves,,
1501907,PA,Bujaru,40.0,48.0
1501956,PA,Cachoeira do Piriá,32.0,44.0
1502004,PA,Cachoeira do Arari,7.0,32.0
1502103,PA,Cametá,62.0,
1502152,PA,Canaã dos Carajás,85.0,114.0
1502202,PA,Capanema,32.0,65.0
1502301,PA,Capitão Poço,237.0,396.0
1502400,PA,Castanhal,159.0,254.0
1502509,PA,Chaves,19.0,24.0
1502608,PA,Colares,3.0,4.0
1502707,PA,Conceição do Araguaia,232.0,310.0
1502756,PA,Concórdia do Pará,49.0,73.0
1502764,PA,Cumaru do Norte,151.0,411.0
1502772,PA,Curionópolis,64.0,164.0
1502806,PA,Curralinho,,
1502855,PA,Curuá,7.0,21.0
1502905,PA,Curuçá,22.0,24.0
1502939,PA,Dom Eliseu,136.0,363.0
1502954,PA,Eldorado do Carajás,120.0,162.0
1503002,PA,Faro,,
1503044,PA,Floresta do Araguaia,106.0,172.0
1503077,PA,Garrafão do Norte,84.0,130.0
1503093,PA,Goianésia do Pará,173.0,318.0
1503101,PA,Gurupá,1.0,
1503200,PA,Igarapé-Açu,177.0,297.0
1503309,PA,Igarapé-Miri,15.0,
1503408,PA,Inhangapi,32.0,47.0
1503457,PA,Ipixuna do Pará,140.0,256.0
1503507,PA,Irituia,66.0,88.0
1503606,PA,Itaituba,147.0,188.0
1503705,PA,Itupiranga,189.0,262.0
1503754,PA,Jacareacanga,130.0,164.0
1503804,PA,Jacundá,52.0,93.0
1503903,PA,Juruti,9.0,15.0
1504000,PA,Limoeiro do Ajuru,1.0,
1504059,PA,Mãe do Rio,38.0,66.0
1504109,PA,Magalhães Barata,8.0,9.0
1504208,PA,Marabá,343.0,530.0
1504307,PA,Maracanã,35.0,
1504406,PA,Marapanim,15.0,19.0
1504422,PA,Marituba,,
1504455,PA,Medicilândia,237.0,277.0
1504505,PA,Melgaço,2.0,
1504604,PA,Mocajuba,23.0,
1504703,PA,Moju,239.0,481.0
1504752,PA,Mojuí dos Campos,76.0,166.0
1504802,PA,Monte Alegre,73.0,90.0
1504901,PA,Muaná,7.0,13.0
1504950,PA,Nova Esperança do Piriá,90.0,124.0
1504976,PA,Nova Ipixuna,105.0,124.0
1505007,PA,Nova Timboteua,65.0,94.0
1505031,PA,Novo Progresso,550.0,858.0
1505064,PA,Novo Repartimento,203.0,267.0
1505106,PA,Óbidos,34.0,44.0
1505205,PA,Oeiras do Pará,17.0,21.0
1505304,PA,Oriximiná,21.0,32.0
1505403,PA,Ourém,29.0,52.0
1505437,PA,Ourilândia do Norte,104.0,145.0
1505486,PA,Pacajá,110.0,134.0
1505494,PA,Palestina do Pará,28.0,53.0
1505502,PA,Paragominas,245.0,734.0
1505536,PA,Parauapebas,70.0,88.0
1505551,PA,Pau D'Arco,27.0,39.0
1505601,PA,Peixe-Boi,26.0,45.0
1505635,PA,Piçarra,102.0,195.0
1505650,PA,Placas,131.0,157.0
1505700,PA,Ponta de Pedras,10.0,10.0
1505809,PA,Portel,14.0,
1505908,PA,Porto de Moz,17.0,41.0
1506005,PA,Prainha,17.0,32.0
1506104,PA,Primavera,2.0,
1506112,PA,Quatipuru,2.0,
1506138,PA,Redenção,157.0,268.0
1506161,PA,Rio Maria,187.0,282.0
1506187,PA,Rondon do Pará,165.0,317.0
1506195,PA,Rurópolis,118.0,154.0
1506203,PA,Salinópolis,1.0,
1506302,PA,Salvaterra,10.0,16.0
1506351,PA,Santa Bárbara do Pará,4.0,
1506401,PA,Santa Cruz do Arari,6.0,7.0
1506500,PA,Santa Izabel do Pará,129.0,194.0
1506559,PA,Santa Luzia do Pará,35.0,47.0
1506583,PA,Santa Maria das Barreiras,272.0,528.0
1506609,PA,Santa Maria do Pará,112.0,128.0
1506708,PA,Santana do Araguaia,290.0,710.0
1506807,PA,Santarém,112.0,224.0
1506906,PA,Santarém Novo,12.0,20.0
1507003,PA,Santo Antônio do Tauá,67.0,124.0
1507102,PA,São Caetano de Odivelas,26.0,39.0
1507151,PA,São Domingos do Araguaia,94.0,130.0
1507201,PA,São Domingos do Capim,67.0,88.0
1507300,PA,São Félix do Xingu,829.0,1306.0
1507409,PA,São Francisco do Pará,74.0,126.0
1507458,PA,São Geraldo do Araguaia,140.0,214.0
1507466,PA,São João da Ponta,13.0,15.0
1507474,PA,São João de Pirabas,5.0,6.0
1507508,PA,São João do Araguaia,55.0,73.0
1507607,PA,São Miguel do Guamá,82.0,122.0
1507706,PA,São Sebastião da Boa Vista,,
1507755,PA,Sapucaia,46.0,373.0
1507805,PA,Senador José Porfírio,22.0,
1507904,PA,Soure,18.0,
1507953,PA,Tailândia,150.0,475.0
1507961,PA,Terra Alta,6.0,15.0
1507979,PA,Terra Santa,4.0,
1508001,PA,Tomé-Açu,344.0,595.0
1508035,PA,Tracuateua,87.0,109.0
1508050,PA,Trairão,43.0,64.0
1508084,PA,Tucumã,270.0,323.0
1508100,PA,Tucuruí,45.0,
1508126,PA,Ulianópolis,137.0,422.0
1508159,PA,Uruará,173.0,244.0
1508209,PA,Vigia,19.0,37.0
1508308,PA,Viseu,89.0,142.0
1508357,PA,Vitória do Xingu,88.0,121.0
1508407,PA,Xinguara,113.0,220.0
1600055,AP,Serra do Navio,,
1600105,AP,Amapá,4.0,4.0
1600154,AP,Pedra Branca do Amapari,2.0,
1600204,AP,Calçoene,1.0,
1600212,AP,Cutias,6.0,21.0
1600238,AP,Ferreira Gomes,6.0,22.0
1600253,AP,Itaubal,9.0,24.0
1600279,AP,Laranjal do Jari,6.0,8.0
1600303,AP,Macapá,106.0,153.0
1600402,AP,Mazagão,9.0,11.0
1600501,AP,Oiapoque,4.0,4.0
1600535,AP,Porto Grande,57.0,72.0
1600550,AP,Pracuúba,5.0,
1600600,AP,Santana,13.0,
1600709,AP,Tartarugalzinho,9.0,20.0
1600808,AP,Vitória do Jari,,
1700251,TO,Abreulândia,99.0,191.0
1700301,TO,Aguiarnópolis,23.0,34.0
1700350,TO,Aliança do Tocantins,114.0,215.0
1700400,TO,Almas,84.0,165.0
1700707,TO,Alvorada,101.0,333.0
1701002,TO,Ananás,49.0,104.0
1701051,TO,Angico,10.0,44.0
1701101,TO,Aparecida do Rio Negro,47.0,125.0
1701309,TO,Aragominas,40.0,72.0
1701903,TO,Araguacema,77.0,179.0
1702000,TO,Araguaçu,313.0,636.0
1702109,TO,Araguaína,213.0,359.0
1702158,TO,Araguanã,29.0,54.0
1702208,TO,Araguatins,127.0,175.0
1702307,TO,Arapoema,84.0,164.0
1702406,TO,Arraias,140.0,256.0
1702554,TO,Augustinópolis,27.0,32.0
1702703,TO,Aurora do Tocantins,30.0,59.0
1702901,TO,Axixá do Tocantins,10.0,16.0
1703008,TO,Babaçulândia,59.0,96.0
1703057,TO,Bandeirantes do Tocantins,65.0,114.0
1703073,TO,Barra do Ouro,12.0,37.0
1703107,TO,Barrolândia,57.0,93.0
1703206,TO,Bernardo Sayão,72.0,101.0
1703305,TO,Bom Jesus do Tocantins,16.0,62.0
1703602,TO,Brasilândia do Tocantins,23.0,55.0
1703701,TO,Brejinho de Nazaré,54.0,145.0
1703800,TO,Buriti do Tocantins,20.0,33.0
1703826,TO,Cachoeirinha,6.0,21.0
1703842,TO,Campos Lindos,83.0,272.0
1703867,TO,Cariri do Tocantins,102.0,221.0
1703883,TO,Carmolândia,21.0,47.0
1703891,TO,Carrasco Bonito,12.0,17.0
1703909,TO,Caseara,31.0,133.0
1704105,TO,Centenário,18.0,40.0
1704600,TO,Chapada de Areia,49.0,76.0
1705102,TO,Chapada da Natividade,42.0,101.0
1705508,TO,Colinas do Tocantins,67.0,98.0
1705557,TO,Combinado,16.0,18.0
1705607,TO,Conceição do Tocantins,33.0,60.0
1706001,TO,Couto Magalhães,75.0,154.0
1706100,TO,Cristalândia,93.0,198.0
1706258,TO,Crixás do Tocantins,55.0,109.0
1706506,TO,Darcinópolis,39.0,109.0
1707009,TO,Dianópolis,69.0,108.0
1707108,TO,Divinópolis do Tocantins,131.0,241.0
1707207,TO,Dois Irmãos do Tocantins,171.0,267.0
1707306,TO,Dueré,199.0,363.0
1707405,TO,Esperantina,11.0,
1707553,TO,Fátima,34.0,57.0
1707652,TO,Figueirópolis,131.0,353.0
1707702,TO,Filadélfia,61.0,78.0
1708205,TO,Formoso do Araguaia,284.0,610.0
1708254,TO,Tabocão,26.0,54.0
1708304,TO,Goianorte,66.0,115.0
1709005,TO,Goiatins,64.0,148.0
1709302,TO,Guaraí,105.0,191.0
1709500,TO,Gurupi,195.0,346.0
1709807,TO,Ipueiras,22.0,46.0
1710508,TO,Itacajá,54.0,135.0
1710706,TO,Itaguatins,21.0,28.0
1710904,TO,Itapiratins,36.0,101.0
1711100,TO,Itaporã do Tocantins,39.0,67.0
1711506,TO,Jaú do Tocantins,149.0,260.0
1711803,TO,Juarina,32.0,38.0
1711902,TO,Lagoa da Confusão,132.0,401.0
1711951,TO,Lagoa do Tocantins,11.0,23.0
1712009,TO,Lajeado,14.0,19.0
1712157,TO,Lavandeira,29.0,39.0
1712405,TO,Lizarda,19.0,33.0
1712454,TO,Luzinópolis,10.0,15.0
1712504,TO,Marianópolis do Tocantins,89.0,276.0
1712702,TO,Mateiros,14.0,120.0
1712801,TO,Maurilândia do Tocantins,8.0,12.0
1713205,TO,Miracema do Tocantins,167.0,300.0
1713304,TO,Miranorte,94.0,146.0
1713601,TO,Monte do Carmo,109.0,244.0
1713700,TO,Monte Santo do Tocantins,97.0,161.0
1713809,TO,Palmeiras do Tocantins,57.0,82.0
1713957,TO,Muricilândia,40.0,72.0
1714203,TO,Natividade,49.0,95.0
1714302,TO,Nazaré,18.0,23.0
1714880,TO,Nova Olinda,68.0,106.0
1715002,TO,Nova Rosalândia,41.0,96.0
1715101,TO,Novo Acordo,31.0,88.0
1715150,TO,Novo Alegre,20.0,30.0
1715259,TO,Novo Jardim,23.0,35.0
1715507,TO,Oliveira de Fátima,21.0,31.0
1715705,TO,Palmeirante,68.0,148.0
1715754,TO,Palmeirópolis,109.0,197.0
1716109,TO,Paraíso do Tocantins,153.0,196.0
1716208,TO,Paranã,146.0,253.0
1716307,TO,Pau D'Arco,48.0,108.0
1716505,TO,Pedro Afonso,58.0,239.0
1716604,TO,Peixe,248.0,690.0
1716653,TO,Pequizeiro,74.0,112.0
1716703,TO,Colméia,45.0,59.0
1717008,TO,Pindorama do Tocantins,28.0,54.0
1717206,TO,Piraquê,37.0,90.0
1717503,TO,Pium,180.0,461.0
1717800,TO,Ponte Alta do Bom Jesus,24.0,41.0
1717909,TO,Ponte Alta do Tocantins,56.0,94.0
1718006,TO,Porto Alegre do Tocantins,15.0,25.0
1718204,TO,Porto Nacional,258.0,469.0
1718303,TO,Praia Norte,8.0,
1718402,TO,Presidente Kennedy,19.0,35.0
1718451,TO,Pugmil,36.0,62.0
1718501,TO,Recursolândia,13.0,30.0
1718550,TO,Riachinho,18.0,31.0
1718659,TO,Rio da Conceição,6.0,13.0
1718709,TO,Rio dos Bois,38.0,82.0
1718758,TO,Rio Sono,93.0,177.0
1718808,TO,Sampaio,8.0,10.0
1718840,TO,Sandolândia,122.0,213.0
1718865,TO,Santa Fé do Araguaia,61.0,190.0
1718881,TO,Santa Maria do Tocantins,28.0,61.0
1718899,TO,Santa Rita do Tocantins,135.0,324.0
1718907,TO,Santa Rosa do Tocantins,57.0,179.0
1719004,TO,Santa Tereza do Tocantins,17.0,34.0
1720002,TO,Santa Terezinha do Tocantins,10.0,23.0
1720101,TO,São Bento do Tocantins,31.0,89.0
1720150,TO,São Félix do Tocantins,5.0,
1720200,TO,São Miguel do Tocantins,20.0,41.0
1720259,TO,São Salvador do Tocantins,44.0,62.0
1720309,TO,São Sebastião do Tocantins,9.0,12.0
1720499,TO,São Valério,97.0,183.0
1720655,TO,Silvanópolis,62.0,160.0
1720804,TO,Sítio Novo do Tocantins,20.0,32.0
1720853,TO,Sucupira,59.0,143.0
1720903,TO,Taguatinga,90.0,125.0
1720937,TO,Taipas do Tocantins,10.0,20.0
1720978,TO,Talismã,131.0,330.0
1721000,TO,Palmas,87.0,169.0
1721109,TO,Tocantínia,37.0,64.0
1721208,TO,Tocantinópolis,33.0,47.0
1721257,TO,Tupirama,37.0,100.0
1721307,TO,Tupiratins,17.0,36.0
1722081,TO,Wanderlândia,68.0,115.0
1722107,TO,Xambioá,44.0,103.0
2100055,MA,Açailândia,283.0,600.0
2100105,MA,Afonso Cunha,2.0,
2100154,MA,Água Doce do Maranhão,2.0,
2100204,MA,Alcântara,,
2100303,MA,Aldeias Altas,5.0,
2100402,MA,Altamira do Maranhão,16.0,
2100436,MA,Alto Alegre do Maranhão,10.0,29.0
2100477,MA,Alto Alegre do Pindaré,14.0,20.0
2100501,MA,Alto Parnaíba,23.0,87.0
2100550,MA,Amapá do Maranhão,8.0,
2100600,MA,Amarante do Maranhão,81.0,120.0
2100709,MA,Anajatuba,7.0,8.0
2100808,MA,Anapurus,21.0,63.0
2100832,MA,Apicum-Açu,,
2100873,MA,Araguanã,27.0,41.0
2100907,MA,Araioses,18.0,23.0
2100956,MA,Arame,36.0,61.0
2101004,MA,Arari,29.0,51.0
2101103,MA,Axixá,2.0,
2101202,MA,Bacabal,84.0,132.0
2101251,MA,Bacabeira,5.0,8.0
2101301,MA,Bacuri,,
2101350,MA,Bacurituba,,
2101400,MA,Balsas,234.0,730.0
2101509,MA,Barão de Grajaú,8.0,
2101608,MA,Barra do Corda,84.0,125.0
2101707,MA,Barreirinhas,4.0,7.0
2101731,MA,Belágua,2.0,
2101772,MA,Bela Vista do Maranhão,12.0,16.0
2101806,MA,Benedito Leite,18.0,41.0
2101905,MA,Bequimão,6.0,8.0
2101939,MA,Bernardo do Mearim,13.0,15.0
2101970,MA,Boa Vista do Gurupi,6.0,12.0
2102002,MA,Bom Jardim,74.0,134.0
2102036,MA,Bom Jesus das Selvas,94.0,155.0
2102077,MA,Bom Lugar,31.0,46.0
2102101,MA,Brejo,25.0,104.0
2102150,MA,Brejo de Areia,7.0,
2102200,MA,Buriti,12.0,53.0
2102309,MA,Buriti Bravo,25.0,48.0
2102325,MA,Buriticupu,43.0,105.0
2102358,MA,Buritirana,47.0,67.0
2102374,MA,Cachoeira Grande,1.0,
2102408,MA,Cajapió,3.0,
2102507,MA,Cajari,5.0,
2102556,MA,Campestre do Maranhão,37.0,109.0
2102606,MA,Cândido Mendes,3.0,5.0
2102705,MA,Cantanhede,15.0,
2102754,MA,Capinzal do Norte,10.0,23.0
2102804,MA,Carolina,89.0,190.0
2102903,MA,Carutapera,8.0,
2103000,MA,Caxias,27.0,106.0
2103109,MA,Cedral,,
2103125,MA,Central do Maranhão,3.0,3.0
2103158,MA,Centro do Guilherme,6.0,
2103174,MA,Centro Novo do Maranhão,23.0,35.0
2103208,MA,Chapadinha,23.0,45.0
2103257,MA,Cidelândia,83.0,139.0
2103307,MA,Codó,42.0,88.0
2103406,MA,Coelho Neto,5.0,34.0
2103505,MA,Colinas,22.0,39.0
2103554,MA,Conceição do Lago-Açu,5.0,
2103604,MA,Coroatá,24.0,38.0
2103703,MA,Cururupu,2.0,
2103752,MA,Davinópolis,23.0,39.0
2103802,MA,Dom Pedro,22.0,
2103901,MA,Duque Bacelar,,
2104008,MA,Esperantinópolis,10.0,11.0
2104057,MA,Estreito,114.0,170.0
2104073,MA,Feira Nova do Maranhão,35.0,44.0
2104081,MA,Fernando Falcão,6.0,19.0
2104099,MA,Formosa da Serra Negra,97.0,110.0
2104107,MA,Fortaleza dos Nogueiras,73.0,132.0
2104206,MA,Fortuna,19.0,23.0
2104305,MA,Godofredo Viana,3.0,3.0
2104404,MA,Gonçalves Dias,15.0,
2104503,MA,Governador Archer,11.0,
2104552,MA,Governador Edison Lobão,48.0,73.0
2104602,MA,Governador Eugênio Barros,31.0,59.0
2104628,MA,Governador Luiz Rocha,12.0,26.0
2104651,MA,Governador Newton Bello,29.0,67.0
2104677,MA,Governador Nunes Freire,24.0,31.0
2104701,MA,Graça Aranha,6.0,6.0
2104800,MA,Grajaú,227.0,439.0
2104909,MA,Guimarães,1.0,
2105005,MA,Humberto de Campos,5.0,5.0
2105104,MA,Icatu,3.0,
2105153,MA,Igarapé do Meio,9.0,16.0
2105203,MA,Igarapé Grande,8.0,18.0
2105302,MA,Imperatriz,67.0,100.0
2105351,MA,Itaipava do Grajaú,14.0,
2105401,MA,Itapecuru Mirim,31.0,51.0
2105427,MA,Itinga do Maranhão,85.0,225.0
2105450,MA,Jatobá,30.0,36.0
2105476,MA,Jenipapo dos Vieiras,26.0,35.0
2105500,MA,João Lisboa,75.0,111.0
2105609,MA,Joselândia,7.0,7.0
2105658,MA,Junco do Maranhão,13.0,15.0
2105708,MA,Lago da Pedra,24.0,31.0
2105807,MA,Lago do Junco,11.0,19.0
2105906,MA,Lago Verde,24.0,
2105922,MA,Lagoa do Mato,17.0,22.0
2105948,MA,Lago dos Rodrigues,7.0,8.0
2105963,MA,Lagoa Grande do Maranhão,6.0,9.0
2105989,MA,Lajeado Novo,45.0,65.0
2106003,MA,Lima Campos,8.0,
2106102,MA,Loreto,50.0,186.0
2106201,MA,Luís Domingues,4.0,
2106300,MA,Magalhães de Almeida,12.0,
2106326,MA,Maracaçumé,11.0,
2106359,MA,Marajá do Sena,8.0,11.0
2106375,MA,Maranhãozinho,18.0,
2106409,MA,Mata Roma,5.0,21.0
2106508,MA,Matinha,10.0,19.0
2106607,MA,Matões,16.0,28.0
2106631,MA,Matões do Norte,17.0,27.0
2106672,MA,Milagres do Maranhão,19.0,36.0
2106706,MA,Mirador,17.0,44.0
2106755,MA,Miranda do Norte,16.0,
2106805,MA,Mirinzal,2.0,
2106904,MA,Monção,10.0,
2107001,MA,Montes Altos,30.0,33.0
2107100,MA,Morros,,
2107209,MA,Nina Rodrigues,,
2107258,MA,Nova Colinas,26.0,36.0
2107308,MA,Nova Iorque,6.0,11.0
2107357,MA,Nova Olinda do Maranhão,22.0,32.0
2107407,MA,Olho d'Água das Cunhãs,25.0,
2107456,MA,Olinda Nova do Maranhão,3.0,4.0
2107506,MA,Paço do Lumiar,20.0,23.0
2107605,MA,Palmeirândia,9.0,11.0
2107704,MA,Paraibano,24.0,32.0
2107803,MA,Parnarama,32.0,101.0
2107902,MA,Passagem Franca,16.0,27.0
2108009,MA,Pastos Bons,95.0,126.0
2108058,MA,Paulino Neves,2.0,
2108108,MA,Paulo Ramos,12.0,
2108207,MA,Pedreiras,3.0,3.0
2108256,MA,Pedro do Rosário,24.0,
2108306,MA,Penalva,13.0,
2108405,MA,Peri Mirim,,
2108454,MA,Peritoró,20.0,37.0
2108504,MA,Pindaré-Mirim,13.0,17.0
2108603,MA,Pinheiro,13.0,13.0
2108702,MA,Pio XII,14.0,
2108801,MA,Pirapemas,4.0,
2108900,MA,Poção de Pedras,20.0,
2109007,MA,Porto Franco,108.0,173.0
2109056,MA,Porto Rico do Maranhão,,
2109106,MA,Presidente Dutra,58.0,66.0
2109205,MA,Presidente Juscelino,,
2109239,MA,Presidente Médici,5.0,5.0
2109270,MA,Presidente Sarney,5.0,5.0
2109304,MA,Presidente Vargas,1.0,
2109403,MA,Primeira Cruz,1.0,
2109452,MA,Raposa,3.0,
2109502,MA,Riachão,119.0,339.0
2109551,MA,Ribamar Fiquene,53.0,74.0
2109601,MA,Rosário,3.0,
2109700,MA,Sambaíba,57.0,193.0
2109759,MA,Santa Filomena do Maranhão,23.0,
2109809,MA,Santa Helena,10.0,10.0
2109908,MA,Santa Inês,27.0,52.0
2110005,MA,Santa Luzia,60.0,193.0
